,Unnamed: 0,id,name,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count
75,75,918222546556602253,Rental unit in International Financial Services Centre · ★5.0 · 1 bedroom · 1 bed · 1 bath,70690080,Dublin City,53.35007815587223,-6.244381507409076,Entire home/apt,140.0,2,3,1
76,76,20826323,Rental unit in Dublin 3 · ★4.93 · 1 bedroom · 1 bed · 1 bath,59766997,Dublin City,53.36069,-6.20823,Entire home/apt,94.0,14,81,2
77,77,682445392025664256,Rental unit in Dublin 2 · ★4.57 · 1 bedroom · 1 bed · 1 shared bath,426724307,Dublin City,53.33697,-6.24162,Private room,103.0,1,28,1
78,78,594838982294437665,Condo in Dublin · 1 bedroom · 2 beds · 1 shared bath,452117624,Dublin City,53.3541,-6.22977,Private room,450.0,5,1,3
79,79,554266902475051982,Townhouse in North Strand · ★4.83 · 1 bedroom · 1 bed · 1.5 baths,69683252,Dublin City,53.35734,-6.24277,Entire home/apt,120.0,1,90,83
80,80,45309310,Home in Dublin 2 · 1 bedroom · 1 private bath,268990098,Dublin City,53.34554,-6.24966,Private room,78.0,28,0,11
81,81,43684857,Rental unit in Dublin 1 · ★4.81 · 1 bedroom · 1 bed · 1 bath,348896462,Dublin City,53.34947,-6.24064,Entire home/apt,97.0,4,26,1
82,82,41677883,Home in Dublin · ★4.73 · 1 bedroom · 1 bed · 1.5 baths,248828414,Dn Laoghaire-Rathdown,53.25903,-6.20568,Private room,55.0,3,30,2
83,83,893284102770933282,Home in Dublin 10 · ★4.41 · 1 bedroom · 2 beds · 1 bath,515169820,Dublin City,53.3408042,-6.3553186,Private room,83.0,1,17,1
84,84,1012875713954100701,Rental unit in Dublin · ★New · 2 bedrooms · 3 beds · 1 bath,543286987,Dublin City,53.361063689799735,-6.260085816704046,Entire home/apt,203.0,3,0,2
85,85,1020913811967156624,Home in Dublin · ★New · 1 bedroom · 4 beds · 1.5 baths,4009786,Dn Laoghaire-Rathdown,53.27922553546788,-6.1323650548665976,Private room,90.0,1,0,3
86,86,17810642,Home in Dublin · ★4.71 · 1 bedroom · 1 bed · 1 shared bath,107164896,Dublin City,53.36682,-6.2935,Private room,70.0,1,172,1
87,87,44257248,Rental unit in Dublin 5 · 1 bedroom · 1 bed · 1 bath,39855966,Dublin City,53.37574,-6.19328,Entire home/apt,70.0,3,0,1
88,88,841638997531572082,Condo in Dublin · 1 bedroom · 1 bed · 1 shared bath,483024454,Dublin City,53.33749798338976,-6.235050686891278,Private room,77.0,3,2,51
89,89,724463345907525578,Rental unit in Dublin 7 · ★5.0 · Studio · 1 bed · 1 bath,31284582,Dublin City,53.35688,-6.29374,Entire home/apt,77.0,14,3,84
90,90,968653078915390676,Cabin in Dublin · 1 bedroom · 1 bed · 1 bath,216100743,South Dublin,53.31227,-6.32469,Entire home/apt,100.0,2,0,4
91,91,994728980747539502,Rental unit in Dublin 9 · ★5.0 · 1 bedroom · 1 bed · Private half-bath,18466080,Dublin City,53.3623041,-6.258533799999999,Private room,80.0,1,6,2
92,92,1014635391779832141,Home in Dublin · ★New · 1 bedroom · 1 bed · 2 shared baths,239718762,Dublin City,53.39981,-6.26005,Shared room,32.0,1,2,28
93,93,1008541089915886686,Rental unit in Harold's Cross · ★New · 1 bedroom · 1 bed · 1 bath,418475251,Dublin City,53.31881914798365,-6.289462613010387,Entire home/apt,46.0,41,0,1
94,94,47921508,Guest suite in Dublin 8 · ★4.71 · 1 bedroom · 1 bed · 1 bath,241858685,Dublin City,53.3328,-6.27398,Entire home/apt,151.0,3,28,10
95,95,699780615170981742,Home in Swords · 1 bedroom · 1 bed · 1 private bath,476347237,Fingal,53.47388,-6.24281,Private room,110.0,1,2,1
96,96,846345678679145993,Home in Dublin · 2 bedrooms · 4 beds · 2.5 baths,237306214,Fingal,53.372629412191785,-6.403561925770732,Entire home/apt,500.0,150,0,3
97,97,805741831689464410,Home in County Dublin · ★5.0 · 3 bedrooms · 3 beds · 3.5 baths,417641851,Fingal,53.41186049609831,-6.157937936861636,Entire home/apt,514.0,3,14,1
98,98,722498612955266751,Home in Malahide · 3 bedrooms · 3 beds · 1.5 baths,7336387,Fingal,53.43939,-6.16046,Entire home/apt,255.0,15,0,2
99,99,984106845854719364,Rental unit in Dublin 8 · ★5.0 · 2 bedrooms · 3 beds · 2 baths,537927630,Dublin City,53.34128,-6.31263,Entire home/apt,248.0,1,3,1
100,100,49689236,Home in Dublin 3 · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,42474513,Dublin City,53.3614,-6.21563,Private room,88.0,4,32,3
101,101,883449175968989503,Bed and breakfast in Dublin · ★4.63 · 1 bedroom · 1 bed · 1 private bath,274598863,Dublin City,53.33526802327672,-6.240204002296654,Private room,75.0,1,16,1
102,102,1004287512784623758,Home in Kilternan · ★New · 1 bedroom · 1 bed · 1 bath,161250639,Dn Laoghaire-Rathdown,53.23946646073615,-6.195351361338983,Entire home/apt,200.0,1,0,1
103,103,577423791193604643,Home in Ireland · ★4.16 · 1 bedroom · 1 bed · 3 shared baths,409664458,Dublin City,53.3466,-6.27797,Private room,56.0,3,57,6
104,104,50164216,Condo in Dublin · ★4.39 · 1 bedroom · 2 beds · 1 bath,404485557,Dublin City,53.34741,-6.28098,Entire home/apt,122.0,3,77,4
105,105,694582917638660692,Place to stay in Dublin 11 · ★5.0 · 1 bedroom · 1 bed · 1 bath,9066796,Dublin City,53.38033,-6.28397,Entire home/apt,120.0,3,24,2
106,106,858548006328633047,Home in Dublin 8 · ★4.89 · 1 bedroom · 1 bed · 1.5 baths,477816136,Dublin City,53.338275958336176,-6.288094093251331,Entire home/apt,89.0,21,9,14
107,107,5218203,Home in Blackrock · ★4.96 · 1 bedroom · 2 beds · 1 shared bath,19970483,Dn Laoghaire-Rathdown,53.28486,-6.17929,Private room,65.0,7,26,3
108,108,48711799,Condo in Dublin 1 · ★4.81 · 1 bedroom · 1 bed · 1 bath,77853226,Dublin City,53.35685,-6.26354,Entire home/apt,61.0,1,235,7
109,109,974352373295665189,Home in County Dublin · ★5.0 · 2 bedrooms · 2 beds · 3 baths,356481562,Fingal,53.41634755986044,-6.327178309395891,Entire home/apt,250.0,1,3,2
110,110,685225342818414948,Home in Beaumont · ★4.91 · 1 bedroom · 1 bed · 1.5 shared baths,237175509,Dublin City,53.38734,-6.21776,Private room,87.0,3,33,4
111,111,47468895,Condo in Dublin · 3 bedrooms · 3 beds · 3 baths,369785492,Dublin City,53.33394,-6.37765,Entire home/apt,190.0,120,0,1
112,112,1039969340255869535,Rental unit in Dublin · ★New · 3 bedrooms · 3 beds · 2 baths,119659890,Dublin City,53.34501,-6.23384,Entire home/apt,200.0,7,0,1
113,113,374792,Rental unit in Dublin · ★4.47 · 1 bedroom · 3 beds · 1 bath,790601,Dublin City,53.33744,-6.32363,Entire home/apt,189.0,3,35,5
114,114,49287070,Condo in Dublin · 1 bedroom · 1 bed · 1 bath,54082092,Dublin City,53.338,-6.24216,Entire home/apt,130.0,14,1,11
115,115,31403919,Rental unit in Dublin 8 · ★4.90 · 2 bedrooms · 2 beds · 2 baths,24141249,Dublin City,53.33988,-6.26798,Entire home/apt,100.0,14,183,7
116,116,886590660194670093,Home in Dublin 9 · 3 bedrooms · 3 beds · 2.5 baths,125122317,Fingal,53.40592707014535,-6.253670379764287,Entire home/apt,598.0,2,2,4
117,117,32690145,Rental unit in Drumcondra · ★4.48 · 1 bedroom · 1 bed · 1 bath,211091139,Dublin City,53.36268,-6.25754,Entire home/apt,62.0,15,82,4
118,118,39982451,Rental unit in Dublin · ★4.58 · 2 bedrooms · 2 beds · 1 bath,162402361,Dublin City,53.34523,-6.24544,Entire home/apt,182.0,28,12,48
119,119,794715275685116344,Rental unit in Dublin 2 · ★4.88 · 1 bedroom · 1 bed · 1 bath,35950168,Dublin City,53.3358649,-6.249744799999999,Entire home/apt,140.0,3,50,2
120,120,843343574596255609,Rental unit in Dublin 3 · ★4.52 · 1 bedroom · 1 bed · 1 bath,460217902,Dublin City,53.3671488,-6.250622799999999,Entire home/apt,123.0,2,44,1
121,121,10399510,Rental unit in Finglas · ★4.84 · 1 bedroom · 1 bed · 1 shared bath,36409148,Dublin City,53.38156,-6.29104,Private room,46.0,3,31,1
122,122,943309210208937384,Home in Dublin 9 · ★3.0 · 1 bedroom · 1 bed · 1 bath,431309747,Dublin City,53.37574,-6.22707,Private room,666.0,100,4,2
123,123,27961701,Home in Dublin 22 · ★5.0 · 1 bedroom · 1 bed · 1 private bath,211200306,South Dublin,53.31599741722477,-6.394540588656027,Private room,100.0,1,7,2
124,124,1009581680137256451,Home in Dublin · ★5.0 · 1 bedroom · 1 bed · 1 bath,12254584,Dublin City,53.37629186828778,-6.329510663084845,Private room,50.0,1,4,1
125,125,11956632,Home in Malahide · ★4.89 · 5 bedrooms · 6 beds · 5 baths,58177282,Fingal,53.4326,-6.1758,Entire home/apt,975.0,2,103,1
