,Unnamed: 0,id,name,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,Listing ownership
81,81,1943366,Condo in Dublin · ★4.81 · 1 bedroom · 2 beds · 1 bath,1557844,Dublin City,53.35691,-6.29164,Entire home/apt,180,2,154,8,Multiple properties
82,82,1963074,Home in Glasnevin · ★4.96 · 1 bedroom · 1 bed · 1 private bath,10124896,Dublin City,53.39105,-6.27775,Private room,131,1,662,1,Single property
83,83,2026810,Home in Ranelagh · ★4.73 · 1 bedroom · 1 bed · 1.5 shared baths,6782586,Dublin City,53.32338,-6.25333,Private room,53,3,324,2,Multiple properties
84,84,2069629,Rental unit in North Lotts · ★4.68 · 1 bedroom · 1 bed · 1 bath,10583714,Dublin City,53.34665,-6.26371,Entire home/apt,95,14,64,1,Single property
85,85,2084913,Rental unit in Dublin · ★4.79 · 1 bedroom · 1 bed · 1 bath,5670240,Dublin City,53.34932,-6.26709,Private room,80,2,48,1,Single property
86,86,2121887,Rental unit in Dublin · ★4.71 · 2 bedrooms · 2 beds · 2 baths,4681988,Dublin City,53.33914,-6.26709,Entire home/apt,70,2,7,1,Single property
87,87,2162973,Rental unit in Dublin · ★4.82 · 1 bedroom · 1 bed · 1 bath,1467387,Dublin City,53.32147,-6.24967,Entire home/apt,125,14,58,1,Single property
88,88,2165074,Condo in Santry · ★4.83 · 1 bedroom · 7 beds · 1 bath,11047034,Dublin City,53.39551,-6.26308,Entire home/apt,120,3,122,2,Multiple properties
89,89,2202076,Rental unit in Killiney · 2 bedrooms · 3 beds · 2 baths,503635,Dn Laoghaire-Rathdown,53.26852,-6.11418,Entire home/apt,100,3,0,1,Single property
90,90,2215722,Home in Clontarf · 1 bedroom · 3 beds · 1 shared bath,11294447,Dublin City,53.37106,-6.19743,Private room,120,1,0,1,Single property
91,91,2295609,Home in Dublin · 5 bedrooms · 5 beds · 2.5 baths,11725628,Dublin City,53.33821,-6.30562,Entire home/apt,180,7,0,1,Single property
92,92,2385640,Home in Dublin · 5 bedrooms · 6 beds · 4.5 baths,12185528,Dn Laoghaire-Rathdown,53.28973,-6.1284,Entire home/apt,179,10,1,1,Single property
93,93,2394893,Bed and breakfast in Santry · ★4.92 · 1 bedroom · 1 bed · 1.5 shared baths,12173057,Dublin City,53.39058,-6.24692,Private room,58,2,243,2,Multiple properties
94,94,2415104,Home in Dublin · ★4.90 · 2 bedrooms · 4 beds · 1.5 baths,5580678,Dublin City,53.33364,-6.26584,Entire home/apt,577,5,266,6,Multiple properties
95,95,2450893,Home in Dublin · 3 bedrooms · 4 beds · 2.5 baths,12527734,Dn Laoghaire-Rathdown,53.29865,-6.2436,Entire home/apt,400,7,0,1,Single property
96,96,2466169,Rental unit in Dublin · ★4.65 · Studio · 1 bed · 1 bath,11823727,Dublin City,53.34526,-6.28195,Entire home/apt,140,3,225,1,Single property
97,97,2471794,Townhouse in Dun Laoghaire · ★4.90 · 1 bedroom · 2 beds · 1.5 baths,12640966,Dn Laoghaire-Rathdown,53.2858,-6.13467,Private room,95,2,132,1,Single property
98,98,2481147,Serviced apartment in Dublin · ★4.62 · 3 bedrooms · 5 beds · 2 baths,234243,Dublin City,53.34573,-6.23746,Entire home/apt,245,3,34,38,Excessive properties
99,99,2486255,Home in Lucan · 1 bedroom · 1 bed · 1 private bath,2115318,South Dublin,53.35167,-6.45042,Private room,115,1,0,3,Multiple properties
100,100,2489550,Condo in Dublin · ★4.88 · 1 bedroom · 2 beds · 1 bath,12036741,Dublin City,53.3436,-6.2673,Entire home/apt,138,14,462,16,Excessive properties
101,101,2490267,Rental unit in Dublin · ★4.59 · 1 bedroom · 1 bed · 2 baths,12747019,Dublin City,53.34277,-6.30266,Private room,92,3,173,1,Single property
102,102,2514537,Home in Dublin · 3 bedrooms · 3 beds · 2 baths,12701356,Dublin City,53.36559,-6.22861,Entire home/apt,110,5,2,1,Single property
103,103,2574203,Townhouse in Ballyfermot · ★4.91 · 1 bedroom · 1 bed · 1 shared bath,13054321,Dublin City,53.34223,-6.33011,Private room,58,2,424,1,Single property
104,104,2607040,Tiny home in Dublin · ★4.75 · 1 bedroom · 1 bed · 1 bath,13350457,Dublin City,53.33461,-6.27329,Entire home/apt,157,2,65,1,Single property
105,105,2610590,Home in Dublin · 3 bedrooms · 4 beds · 2 baths,5550624,Dublin City,53.33665,-6.27844,Entire home/apt,160,2,2,1,Single property
